Shogi family;Doubutsu Shogi;breakthrough/doubutsu-shogi.htm;https://en.wikipedia.org/wiki/D%C5%8Dbutsu_sh%C5%8Dgi;doubutsu-shogi;Madoka Kitao
Shogi family;Gorogoro Doubutsu Shogi;shogi/gorogoro-shogi.htm;https://en.wikipedia.org/wiki/D%C5%8Dbutsu_sh%C5%8Dgi;gorogoro-shogi;Madoka Kitao
Shogi family;Simple Shogi;shogi/simple-shogi.htm;;simple-shogi;2012 Itsubaki Yoshihisa
Shogi family;Treasure Shogi;shogi/treasure-shogi.htm;;treasure-shogi;2010 Yamamoto Mitsuo
Shogi family;REN Shogi;shogi/ren-shogi.htm;;ren-shogi;
Shogi family;LeShogi;shogi/leshogi.htm;;le-shogi;2009 Yamamoto Mitsuo
Shogi family;MiniShogi;shogi/mini-shogi.htm;https://en.wikipedia.org/wiki/Minishogi;mini-shogi;1970 Shigeo Kusumoto
Shogi family;Rocket Shogi;shogi/rocket-shogi.htm;;rocket-shogi;2012 Itsubaki Yoshihisa
Shogi family;Go-Roku Shogi;shogi/goroku-shogi.htm;;goroku;2018 Shingeki Watanabe
Shogi family;5x7 Shogi;shogi/5x7-shogi.htm;;5x7-shogi;1977 Hirobumi Serizawa
Shogi family;Ikusa Shogi;shogi/ikusa-shogi.htm;;ikusa-shogi;2011 Yamamoto Mitsuo
Shogi family;Judkins Shogi;shogi/judkins-shogi.htm;https://en.wikipedia.org/wiki/Judkins_shogi;judkins;1998 Paul Judkins
Shogi family;Heian Shogi;shogi/heian-shogi.htm;https://en.wikipedia.org/wiki/Heian_shogi;heian-shogi;
Shogi family;Sho Shogi;shogi/sho-shogi.htm;https://en.wikipedia.org/wiki/Sho_shogi;sho-shogi;
Shogi family;Shogi;shogi/shogi.htm;https://en.wikipedia.org/wiki/Shogi;shogi-1;
Shogi family;Shogi (5 in hand);shogi/shogi-5-hand.htm;https://en.wikipedia.org/wiki/Shogi;shogi-1;
Shogi family;Annan Shogi;shogi/annan-shogi.htm;https://en.wikipedia.org/wiki/Annan_shogi;annan-shogi;
Shogi family;Yonin Shogi;index-map-shogi-yonin.html;https://en.wikipedia.org/wiki/Yonin_shogi;yonin-1;
Shogi family;Micro Shogi;shogi/micro-shogi.htm;https://en.wikipedia.org/wiki/Micro_shogi;micro-shogi;1982 Oyama Yasuharu
Shogi family;Kyoto Shogi;shogi/kyoto-shogi.htm;https://en.wikipedia.org/wiki/Kyoto_shogi;kyoto-shogi;1976 Tamiya Katsuya
Shogi family;Hexagonal Kyoto Shogi;shogi/hex-kyoto-shogi.htm;;hex-kyoto-shogi;2000 Jochen Drechsler
Shogi family;Wa Shogi;index-map-shogi-wa.html;https://en.wikipedia.org/wiki/Wa_shogi;wa-shogi;
Shogi family;Tori Shogi;shogi/tori-shogi.htm;https://en.wikipedia.org/wiki/Tori_shogi;tori-shogi;1799 Toyota Genryu
